,Unnamed: 0,figure,cross-section_name,id,sample,unit,lithology,longitude,latitude,elevation,age,pooled_age,mean_age,age_error_1s,age_error_pooled_1s,age_error_mean_1s,age_error_2s_plus,age_error_2s_minus,system,reference,Unnamed: 19,geometry,distance_to_xsection,projected_distance_along_xsection,resetting_temp,surface_T,resetting_depth,modelled_age,R2 for all samples combined,MAE for all samples combined,L,alpha,beta,vd,vc,geothermal_gradient
0,12,,Kuru Chu Cross Section,,BU07-29,,diamictite,91.2398,26.878,465.0,7.5,,,0.07,,,,,ZHe,Long_2012(Tectonics),,POINT (325156.9818556525 12974137.17225168),3575.9258168715724,2246.392795963758,180.0,20.745,10617.0,10.016528671631578,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
1,13,,Kuru Chu Cross Section,,BU07-27,,diamictite,91.2307,26.9057,975.0,8.86,,,0.08,,,,,ZHe,Long_2012(Tectonics),,POINT (324295.7734975307 12977218.6187579),2670.8704595821123,5315.247176193072,180.0,17.175,10855.0,9.777465789416288,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
2,14,,Kuru Chu Cross Section,,BU07-26,,quartzite,91.2282,26.9083,975.0,9.86,,,0.1,,,,,ZHe,Long_2012(Tectonics),,POINT (324051.4908736441 12977510.14427885),2422.456164100633,5603.260140307184,180.0,17.175,10855.0,9.755389291716819,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
3,15,,Kuru Chu Cross Section,,BU07-24,,quartzite,91.1902,26.9536,505.0,8.52,,,0.11,,,,,ZHe,Long_2012(Tectonics),,POINT (320348.9892473565 12982582.37929234),1351.9878457948566,10622.190179763997,180.0,20.465,10635.666666666666,9.38035329786133,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
4,16,,Kuru Chu Cross Section,,BU07-22,,quartzite,91.2063,27.0084,260.0,9.82,,,0.1,,,,,ZHe,Long_2012(Tectonics),,POINT (322033.7398382351 12988630.93757628),246.35257573619128,16694.15442245302,180.0,22.18,10521.333333333334,8.950235695044539,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
5,17,,Kuru Chu Cross Section,,BU07-21,,quartzite,91.22200000000001,27.0725,950.0,8.62,,,0.08,,,,,ZHe,Long_2012(Tectonics),,POINT (323691.9720973108 12995710.60292156),1803.4760793587936,23796.74282533563,180.0,17.35,10843.333333333334,8.478076236655271,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
6,18,,Kuru Chu Cross Section,,BU07-18,,quartzite,91.2569,27.1071,1580.0,9.68,,,0.1,,,,,ZHe,Long_2012(Tectonics),,POINT (327206.447218906 12999495.54463208),5263.629157370973,27631.408366042746,180.0,12.94,11137.333333333334,8.23628312567476,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
7,19,,Kuru Chu Cross Section,,BU07-14,,quartzite,91.24,27.1661,600.0,9.62,,,0.09,,,,,ZHe,Long_2012(Tectonics),,POINT (325622.4549301408 13006055.62547613),3586.2657892796587,34168.238208001945,180.0,19.8,10680.0,7.84410496826688,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
8,20,,Kuru Chu Cross Section,,BU07-13,,quartzite,91.2334,27.1884,645.0,9.97,,,0.1,,,,,ZHe,Long_2012(Tectonics),,POINT (325003.2229649797 13008535.50002857),2931.7392999794256,36639.03182489584,180.0,19.485,10701.0,7.702149485724642,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
9,21,,Kuru Chu Cross Section,,BH-342,,orthogneiss,91.2991,27.2674,2210.0,8.55,,,0.07,,,,,ZHe,Long_2012(Tectonics),,POINT (331631.4263795341 13017197.9920568),9435.761205945128,45395.14669912449,180.0,8.53,11431.333333333334,7.225141971929113,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
10,22,,Kuru Chu Cross Section,,BU07-12,,quartzite,91.2029,27.2781,995.0,8.6,,,0.09,,,,,ZHe,Long_2012(Tectonics),,POINT (322124.0556098911 13018516.74508823),89.44563723442651,46578.211830049855,180.0,17.035,10864.333333333334,7.1636743896257435,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
11,23,,Kuru Chu Cross Section,,BU07-11,,orthogneiss,91.1934,27.3997,840.0,7.16,,,0.08,,,,,ZHe,Long_2012(Tectonics),,POINT (321378.7321888166 13032003.17368979),1026.979620799801,60052.642929597874,180.0,18.12,10792.0,6.509632900446513,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
12,24,,Kuru Chu Cross Section,,BU07-9,,quartzite,91.1811,27.4026,930.0,6.7,,,0.07,,,,,ZHe,Long_2012(Tectonics),,POINT (320167.0722307235 13032342.20369401),2243.3502271305515,60374.362910118536,180.0,17.490000000000002,10834.0,6.4949958276468625,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
13,25,,Kuru Chu Cross Section,,NBH-11,,quartzite,91.1835,27.5063,1365.0,6.48,,,0.09,,,,,ZHe,Long_2012(Tectonics),,POINT (320572.4063278586 13043828.55435703),2001.8270133192636,71865.32517710626,180.0,14.445,11037.0,5.999501106003109,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
14,26,,Kuru Chu Cross Section,,BU07-6,,quartzite,91.2152,27.5937,1170.0,5.62,,,0.06,,,,,ZHe,Long_2012(Tectonics),,POINT (323843.781865188 13053466.90462234),1131.7946703127548,81549.33823404166,180.0,15.81,10946.0,5.620014849743469,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
15,30,,Kuru Chu Cross Section,,BH-38,,paragneiss,91.1443,27.5404,2145.0,5.49,,,0.06,,,,,ZHe,Long_2012(Tectonics),,POINT (316756.1616317764 13047664.20757698),5872.371639405717,75646.17739605674,180.0,8.985,11401.0,5.847426740420929,-26.38567188939421,3.6863161925358106,200000.0,0.034,-0.17,0.0,-0.00404647,0.015
