X,topo,data_AFT,data_AFT_1SE,data_Zhe,data_Zhe_1SE,data_ArAr,data_ArAr_1SE,AFT_model,Zhe_model,Ar_Ar_model
-65,0,,,,,,,51.5588,49.2451,50
-64,0,,,,,,,51.5588,49.2451,50
-63,0,,,,,,,51.5588,49.2451,50
-62,0,,,,,,,51.5588,49.2451,50
-61,0,,,,,,,51.5588,49.2451,50
-60,0,,,,,,,51.5588,49.2451,50
-59,0,,,,,,,51.5588,49.2451,50
-58,0,,,,,,,51.5588,49.2451,50
-57,0,,,,,,,51.5588,49.2451,50
-56,0,,,,,,,51.5588,49.2451,50
-55,0,,,,,,,51.5588,49.2451,50
-54,0,,,,,,,51.5588,49.2451,50
-53,0,,,,,,,51.5588,49.2451,50
-52,0,,,,,,,51.5588,49.2451,50
-51,0,,,,,,,51.5588,49.2451,50
-50,0,,,,,,,51.5588,49.2451,50
-49,0,,,,,,,51.5588,49.2451,50
-48,0,,,,,,,51.5588,49.2451,50
-47,0,,,,,,,51.5588,49.2451,50
-46,0,,,,,,,51.5588,49.2451,50
-45,0,,,,,,,51.5588,49.2451,50
-44,0,,,,,,,51.5588,49.2451,50
-43,0,,,,,,,51.5588,49.2451,50
-42,0,,,,,,,51.5588,49.2451,50
-41,0,,,,,,,51.5588,49.2451,50
-40,0,,,,,,,51.5588,49.2451,50
-39,0,,,,,,,51.5588,49.2451,50
-38,0,,,,,,,51.5588,49.2451,50
-37,0,,,,,,,51.5588,49.2451,50
-36,0,,,,,,,51.5588,49.2451,50
-35,0,,,,,,,51.5588,49.2451,50
-34,0,,,,,,,51.5588,49.2451,50
-33,0,,,,,,,51.5588,49.2451,50
-32,0,,,,,,,51.5588,49.2451,50
-31,0,,,,,,,51.5588,49.2451,50
-30,0,,,,,,,51.5588,49.2451,50
-29,0,,,,,,,51.5588,49.2451,50
-28,0,,,,,,,51.5588,49.2451,50
-27,0,,,,,,,51.5588,49.2451,50
-26,0,,,,,,,51.5588,49.2451,50
-25,0,,,,,,,51.5588,49.2451,50
-24,0,,,,,,,51.5588,49.2451,50
-23,0,,,,,,,51.5588,49.2451,50
-22,0,,,,,,,51.5588,49.2451,50
-21,0,,,,,,,51.5588,49.2451,50
-20,0,,,,,,,51.5588,49.2451,50
