figure,cross-section_name,id,sample,unit,lithology,longitude,latitude,elevation,age,pooled_age,mean_age,age_error_1s,age_error_pooled_1s,age_error_mean_1s,age_error_2s_plus,age_error_2s_minus,system,reference
Diagram A - Eastern Buthan,Trashigang Cross Section,,BU07-53,,sandstone,91.48011111,26.86572222,655,8.33,,,0.080808081,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-54,,quartzite,91.48027778,26.87497222,700,7.6,,,0.070707071,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-33,,diamictite,91.54794444,26.93311111,1710,11.16,,,0.116161616,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-35,,quartzite,91.54761111,26.95991667,1580,10.48,,,0.101010101,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-36,,quartzite,91.53083333,26.97441667,1785,10.8,,,0.106060606,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,NBH-18,,quartzite,91.52072,27.012,1815,11.6,,,0.136363636,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-37,,quartzite,91.50141667,27.02675,2385,11.24,,,0.111111111,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-42,,quartzite,91.52088889,27.08486111,2165,9.42,,,0.085858586,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-43B,,quartzite,91.56708333,27.1345,2315,9.28,,,0.085858586,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BH-57,,quartzite,91.44656,27.27869,605,7.26,,,0.055555556,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-55,,quartzite,91.52122222,27.24222222,2350,8.97,,,0.101010101,,,,,ZHe,Long_2012(Tectonics)
,Trashigang Cross Section,,BH-78,,schist,91.63897,27.35144,1000,7.09,,,0.070707071,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-29,,diamictite,91.23983333,26.87802778,465,7.5,,,1.2,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-27,,diamictite,91.23072222,26.90566667,975,8.86,,,1.12,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-26,,quartzite,91.22816667,26.90827778,975,9.86,,,0.87,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-24,,quartzite,91.19019444,26.95358333,505,8.52,,,1.2,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-22,,quartzite,91.20627778,27.00844444,260,9.82,,,0.285,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-21,,quartzite,91.22197222,27.07247222,950,8.62,,,0.72,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-18,,quartzite,91.25686111,27.10705556,1580,9.68,,,0.215,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-14,,quartzite,91.24,27.16608333,600,9.62,,,0.43,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-13,,quartzite,91.23341667,27.18844444,645,9.97,,,1.81,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BH-342,,orthogneiss,91.29907,27.26742,2210,8.55,,,0.435,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-12,,quartzite,91.20288889,27.27808333,995,8.6,,,0.2,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-11,,orthogneiss,91.19339,27.39969,840,7.16,,,0.075,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-9,,quartzite,91.18111111,27.40255556,930,6.7,,,0.065,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,NBH-11,,quartzite,91.18354,27.50625,1365,6.48,,,0.4505,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-6,,quartzite,91.21519444,27.59366667,1170,5.62,,,0.165,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BH-101,,orthogneiss,91.10072,27.34133,2380,8.37,,,0.26,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BH-102,,paragneiss,91.05517,27.329,2795,8.18,,,0.07,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BH-386,,paragneiss,90.93286111,27.4105,3520,6.42,,,0.06,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BH-38,,paragneiss,91.14425,27.54036,2145,5.49,,,0.06,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BH-378,,paragneiss,91.20487,27.66549,1195,4.05,,,0.58,,,,,ZHe,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BH357,,gneiss,91.29827,27.98563,4085,7.42,,,0.55,,,,,ZHe,Coutland_2014(AGU_Publications)
,Kuru Chu Cross Section,,BT0962,,paragneiss,91.13331,27.76839,2360,4.793,,,0.0425,,,,,ZHe,Adams_2013(Lithosphere)
,Kuru Chu Cross Section,,BT0963,,paragneiss,91.13331,27.74961,2309,4.41,,,0.27,,,,,ZHe,Adams_2013(Lithosphere)
,Kuru Chu Cross Section,,BT0964,,orthogneiss,91.13753,27.74289,1882,4.23,,,0.135,,,,,ZHe,Adams_2013(Lithosphere)
,Trashigang Cross Section,,BU07-33,,diamictite,91.54794444,26.93311111,1710,5.69,,,0.52,,,,,AFT,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-35,,quartzite,91.54761111,26.95991667,1580,5.82,,,0.64,,,,,AFT,Long_2012(Tectonics)
,Trashigang Cross Section,,BU07-37,,quartzite,91.50141667,27.02675,2385,6.27,,,1.17,,,,,AFT,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-29,,diamictite,91.23983333,26.87802778,465,3.01,,,0.6,,,,,AFT,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-27,,diamictite,91.23072222,26.90566667,975,3.96,,,0.69,,,,,AFT,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-12,,quartzite,91.20288889,27.27808333,995,3.44,,,1,,,,,AFT,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BU07-11,,orthogneiss,91.19339,27.39969,840,4.52,,,0.73,,,,,AFT,Long_2012(Tectonics)
,Kuru Chu Cross Section,,BH38,,paragneiss,91.14425,27.54036,2135,5.2,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications)
,Kuru Chu Cross Section,,BH63,,gneiss,91.51898,27.31485,672,4,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications)
,Kuru Chu Cross Section,,BH339,,gneiss,91.32806,27.3046,2026,3.6,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications)
,Kuru Chu Cross Section,,BH342,,gneiss,91.29907,27.26742,2219,4,,,0.5,,,,,AFT,Coutland_2014(AGU_Publications)
,Kuru Chu Cross Section,,BH351,,leucogranite,91.30357,27.97318,3870,3,,,1.2,,,,,AFT,Coutland_2014(AGU_Publications)
,Kuru Chu Cross Section,,BH352,,gneiss,91.29016,27.97416,3880,4.1,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,Kuru Chu Cross Section,,BH355,,leucogranite,91.2987,27.99005,4275,3.8,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
